Регіони,2019,2020
Закарпатська область,125.08333333333333,131.61904761904762
Чернівецька область,123.0,129.88888888888889
Чернігівська область,137.23076923076923,141.07692307692307
Миколаївська область,134.5,136.8
Київська область,135.95454545454547,132.20454545454547
Черкаська область,134.57142857142858,131.6875
Житомирська область,145.78947368421052,122.53333333333333
Харківська область,140.0,137.15151515151516
Луганська область,128.42857142857142,122.76923076923077
Донецька область,129.27272727272728,136.57142857142858
Вінницька область,128.22222222222223,137.6304347826087
Полтавська область,133.92307692307693,135.65625
Кіровоградська область,131.27272727272728,134.9090909090909
Рівненська область,136.41666666666666,128.16
Сумська область,137.44444444444446,135.30555555555554
Волинська область,122.77777777777777,132.33333333333334
Івано-Франківська область,137.3913043478261,135.0
Хмельницька область,139.0,134.39473684210526
Херсонська область,140.69230769230768,133.0909090909091
Тернопільська область,132.05882352941177,144.375
Львівська область,142.98,144.5
Запорізька область,130.23076923076923,122.95652173913044
Дніпропетровська область,133.21212121212122,128.79245283018867
Одеська область,134.8695652173913,130.375
м.Київ,139.14634146341464,138.8
